entity_id,classkind,code,blockid,chapterno
888129987,category,2C52.0,,2
,category,2C52.Y,,2
,category,2C52.Z,,2
131965197,category,2C53,,2
680151582,category,2C53.0,,2
1621745746,category,2C53.1,,2
,category,2C53.Y,,2
,category,2C53.Z,,2
,category,2C5Y,,2
,category,2C5Z,,2
1047754165,block,,BlockL3-2C6,2
457240160,category,2C60,,2
2090549892,category,2C61,,2
175963120,category,2C61.0,,2
107769421,category,2C61.1,,2
619691048,category,2C61.2,,2
326933846,category,2C61.3,,2
692664921,category,2C61.4,,2
986359233,category,2C62,,2
147026376,category,2C63,,2
924753077,category,2C64,,2
1258896144,category,2C65,,2
,category,2C6Y,,2
,category,2C6Z,,2
751805133,block,,BlockL3-2C7,2
1530443809,category,2C70,,2
247568702,category,2C70.0,,2
360609196,category,2C70.1,,2
146824338,category,2C70.2,,2
,category,2C70.Y,,2
,category,2C70.Z,,2
798353632,category,2C71,,2
1569909893,category,2C71.0,,2
1778503163,category,2C71.1,,2
1649345016,category,2C71.2,,2
,category,2C71.Y,,2
,category,2C71.Z,,2
1302193697,category,2C72,,2
589965966,category,2C72.0,,2
1588787831,category,2C72.1,,2
1158485735,category,2C72.3,,2
,category,2C72.Y,,2
,category,2C72.Z,,2
685124533,category,2C73,,2
292186178,category,2C73.0,,2
315825558,category,2C73.00,,2
996484353,category,2C73.01,,2
259283045,category,2C73.02,,2
377683031,category,2C73.03,,2
869438441,category,2C73.04,,2
,category,2C73.0Y,,2
,category,2C73.0Z,,2
208782658,category,2C73.1,,2
148207042,category,2C73.2,,2
551209361,category,2C73.3,,2
1074379931,category,2C73.4,,2
455713450,category,2C73.5,,2
,category,2C73.Y,,2
,category,2C73.Z,,2
459381514,category,2C74,,2
1365341249,category,2C74.0,,2
,category,2C74.Y,,2
,category,2C74.Z,,2
821359459,category,2C75,,2
1972855304,category,2C75.0,,2
,category,2C75.Y,,2
,category,2C75.Z,,2
959493854,category,2C76,,2
1784076753,category,1D81.1,,1
,category,1D81.Y,,1
,category,1D81.Z,,1
1017662917,category,1D82,,1
1999221102,category,1D82.0,,1
59040145,category,1D82.1,,1
,category,1D82.Y,,1
,category,1D82.Z,,1
637134348,category,1D83,,1
157616931,category,1D84,,1
1094028194,category,1D84.0,,1
1356011211,category,1D84.1,,1
,category,1D84.Y,,1
,category,1D84.Z,,1
874478433,category,1D85,,1
1485671112,category,1D85.0,,1
51885381,category,1D85.1,,1
326802563,category,1D85.2,,1
233520745,category,1D85.3,,1
856497185,category,1D85.4,,1
,category,1D85.Y,,1
,category,1D85.Z,,1
555874229,category,1D86,,1
237422666,block,,BlockL2-1D9,1
511743818,category,1D90,,1
2076924640,category,1D91,,1
258345505,category,1D92,,1
1781385141,category,1D93,,1
,category,1D9Y,,1
,category,1D9Z,,1
,category,1E1Y,,1
,category,1E1Z,,1
145723401,block,,BlockL1-1E3,1
753780243,category,1E30,,1
283428170,category,1E31,,1
1235618695,category,1E32,,1
985510409,block,,BlockL1-1E5,1
1154736543,category,1E50,,1
991455762,category,1E50.0,,1
1337277167,category,1E50.1,,1
1517862018,category,1E50.2,,1
1060335896,category,1E50.3,,1
785771645,category,1E50.4,,1
,category,1E50.Y,,1
,category,1E50.Z,,1
1469571641,category,1E51,,1
352087872,category,1E51.0,,1
1994012056,category,1E51.00,,1
,category,1E51.0Y,,1
,category,1E51.0Z,,1
1615937473,category,1E51.1,,1
1011250453,category,1E51.2,,1
1465996172,category,1E51.3,,1
,category,1E51.Y,,1
,category,1E51.Z,,1
,category,1E5Z,,1
1646490591,block,,BlockL1-1E7,1
2080431678,block,,BlockL2-1E7,1
2054716425,category,1E70,,1
160886685,category,1E71,,1
1205745537,category,1E72,,1
1275065853,category,1E73,,1
444002285,category,1E74,,1
111540068,category,1E75,,1
82201615,category,1E76,,1
,category,1E7Y,,1
,category,1E7Z,,1
772982663,block,,BlockL2-1E8,1
1074706780,category,1E80,,1
1422437990,category,1E80.0,,1
1076733559,category,1E80.1,,1
,category,1E80.Y,,1
316643992,category,1E81,,1
1160781209,category,1E82,,1
155264956,category,1E82.0,,1
257833622,category,2A81.4,,2
1029172881,category,2A81.5,,2
407807101,category,2A81.6,,2
42599396,category,2A81.7,,2
2077559619,category,2A81.8,,2
697911710,category,2A81.9,,2
1418101362,category,2A81.A,,2
,category,2A81.Y,,2
,category,2A81.Z,,2
1572490549,category,2A82,,2
1239211846,category,2A82.0,,2
1726842351,category,2A82.00,,2
,category,2A82.0Y,,2
,category,2A82.0Z,,2
1997215876,category,2A82.1,,2
